minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
265:00,39,84,0.464,12,39,0.308,21,25,0.84,11,35,46,23,4,3,13,20,111,-4.0
265:00,43,98,0.439,15,36,0.417,14,21,0.667,18,30,48,20,9,7,7,20,115,4.0
