personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,5:26,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,-2.0,Bucks
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:21,3,4,0.75,0,0,0.0,1,3,0.333,0,3,3,0,0,0,1,0,7,-1.0,Bucks
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,11:59,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,2,0,0,0,-1.0,Bucks
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,4,7,0.571,1,2,0.5,2,2,1.0,0,0,0,2,3,0,1,0,11,-1.0,Bucks
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,10:48,3,5,0.6,2,3,0.667,1,2,0.5,0,1,1,2,0,0,0,2,9,-2.0,Bucks
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,8:25,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,2.0,Bucks
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,6,11,0.545,0,2,0.0,3,3,1.0,0,1,1,2,0,0,2,2,15,1.0,Nets
203925,Joe,Harris,J. Harris,joe-harris,F,,,12:00,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,1,0,0,0,0,3,1.0,Nets
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,6:06,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,0.0,Nets
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:55,1,1,1.0,0,0,0.0,0,2,0.0,0,0,0,1,1,0,0,1,2,-1.0,Nets
201935,James,Harden,J. Harden,james-harden,G,,,12:00,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,2,0,0,2,2,5,1.0,Nets
201145,Jeff,Green,J. Green,jeff-green,,,,5:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,3.0,Nets
1629651,Nicolas,Claxton,N. Claxton,nicolas-claxton,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Nets
