personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,3:07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2.0,Bucks
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,5:00,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,4.0,Bucks
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,5:00,0,0,0.0,0,0,0.0,2,2,1.0,0,2,2,0,0,1,0,0,2,4.0,Bucks
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,5:00,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,4.0,Bucks
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,5:00,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4.0,Bucks
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,1:53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6.0,Bucks
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,5:00,0,6,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4.0,Nets
203925,Joe,Harris,J. Harris,joe-harris,F,,,5:00,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-4.0,Nets
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,3:35,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2.0,Nets
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,5:00,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,0,0,2,-4.0,Nets
201935,James,Harden,J. Harden,james-harden,G,,,5:00,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-4.0,Nets
201145,Jeff,Green,J. Green,jeff-green,,,,1:25,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-6.0,Nets
