personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,9:09,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,2,6,3.0,Bucks
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:27,6,10,0.6,1,3,0.333,3,3,1.0,1,1,2,2,0,0,0,1,16,9.0,Bucks
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,9:42,2,3,0.667,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,1,5,1.0,Bucks
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,2,5,0.4,1,3,0.333,0,0,0.0,1,3,4,0,2,0,0,2,5,7.0,Bucks
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,12:00,0,5,0.0,0,1,0.0,0,0,0.0,1,3,4,4,0,0,0,1,0,7.0,Bucks
203648,Thanasis,Antetokounmpo,T. Antetokounmpo,thanasis-antetokounmpo,,,,0:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0,Bucks
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,2:51,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,4.0,Bucks
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,2:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6.0,Bucks
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,3,5,0.6,1,3,0.333,6,6,1.0,0,2,2,1,0,0,0,1,13,-7.0,Nets
203925,Joe,Harris,J. Harris,joe-harris,F,,,9:18,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,0,3,-1.0,Nets
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,11:18,3,4,0.75,1,2,0.5,0,0,0.0,0,3,3,1,0,0,2,1,7,-11.0,Nets
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:52,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-9.0,Nets
201935,James,Harden,J. Harden,james-harden,G,,,11:59,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,4,0,0,1,0,5,-7.0,Nets
1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,2:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4.0,Nets
201145,Jeff,Green,J. Green,jeff-green,,,,0:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4.0,Nets
