personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName,Q
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:02,1,4,0.25,0,1,0.0,3,6,0.5,0,3,3,2,0,0,1,0,5,-3.0,Bucks,2
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,8:20,4,5,0.8,1,1,1.0,0,0,0.0,2,0,2,0,0,1,0,0,9,-1.0,Bucks,2
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,-3.0,Bucks,2
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,8:28,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-3.0,Bucks,2
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,8:10,2,2,1.0,2,2,1.0,0,0,0.0,0,3,3,0,0,0,0,1,6,-2.0,Bucks,2
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,4,7,0.571,2,3,0.667,0,0,0.0,0,2,2,1,0,1,1,0,10,3.0,Nets,2
203925,Joe,Harris,J. Harris,joe-harris,F,,,12:00,0,2,0.0,0,1,0.0,1,2,0.5,1,3,4,0,0,0,0,0,1,3.0,Nets,2
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,7:12,2,4,0.5,1,2,0.5,0,0,0.0,1,2,3,1,0,0,0,1,5,2.0,Nets,2
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,12:00,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,1,0,0,2,0,4,3.0,Nets,2
201935,James,Harden,J. Harden,james-harden,G,,,12:00,2,6,0.333,0,3,0.0,1,1,1.0,1,2,3,3,1,1,0,0,5,3.0,Nets,2
201145,Jeff,Green,J. Green,jeff-green,,,,4:48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,1.0,Nets,2
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,9:09,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,2,6,3.0,Bucks,3
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:27,6,10,0.6,1,3,0.333,3,3,1.0,1,1,2,2,0,0,0,1,16,9.0,Bucks,3
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,9:42,2,3,0.667,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,1,5,1.0,Bucks,3
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,2,5,0.4,1,3,0.333,0,0,0.0,1,3,4,0,2,0,0,2,5,7.0,Bucks,3
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,12:00,0,5,0.0,0,1,0.0,0,0,0.0,1,3,4,4,0,0,0,1,0,7.0,Bucks,3
203648,Thanasis,Antetokounmpo,T. Antetokounmpo,thanasis-antetokounmpo,,,,0:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0,Bucks,3
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,2:51,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,4.0,Bucks,3
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,2:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6.0,Bucks,3
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,3,5,0.6,1,3,0.333,6,6,1.0,0,2,2,1,0,0,0,1,13,-7.0,Nets,3
203925,Joe,Harris,J. Harris,joe-harris,F,,,9:18,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,0,3,-1.0,Nets,3
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,11:18,3,4,0.75,1,2,0.5,0,0,0.0,0,3,3,1,0,0,2,1,7,-11.0,Nets,3
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:52,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-9.0,Nets,3
201935,James,Harden,J. Harden,james-harden,G,,,11:59,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,4,0,0,1,0,5,-7.0,Nets,3
1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,2:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4.0,Nets,3
201145,Jeff,Green,J. Green,jeff-green,,,,0:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4.0,Nets,3
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,5:26,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,-2.0,Bucks,4
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:21,3,4,0.75,0,0,0.0,1,3,0.333,0,3,3,0,0,0,1,0,7,-1.0,Bucks,4
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,11:59,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,2,0,0,0,-1.0,Bucks,4
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,4,7,0.571,1,2,0.5,2,2,1.0,0,0,0,2,3,0,1,0,11,-1.0,Bucks,4
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,10:48,3,5,0.6,2,3,0.667,1,2,0.5,0,1,1,2,0,0,0,2,9,-2.0,Bucks,4
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,8:25,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,2.0,Bucks,4
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks,4
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,6,11,0.545,0,2,0.0,3,3,1.0,0,1,1,2,0,0,2,2,15,1.0,Nets,4
203925,Joe,Harris,J. Harris,joe-harris,F,,,12:00,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,1,0,0,0,0,3,1.0,Nets,4
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,6:06,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,0.0,Nets,4
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:55,1,1,1.0,0,0,0.0,0,2,0.0,0,0,0,1,1,0,0,1,2,-1.0,Nets,4
201935,James,Harden,J. Harden,james-harden,G,,,12:00,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,2,0,0,2,2,5,1.0,Nets,4
201145,Jeff,Green,J. Green,jeff-green,,,,5:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,3.0,Nets,4
1629651,Nicolas,Claxton,N. Claxton,nicolas-claxton,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Nets,4
200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,3:07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2.0,Bucks,5
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,5:00,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,2,4.0,Bucks,5
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,5:00,0,0,0.0,0,0,0.0,2,2,1.0,0,2,2,0,0,1,0,0,2,4.0,Bucks,5
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,5:00,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,4.0,Bucks,5
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,5:00,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4.0,Bucks,5
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,1:53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6.0,Bucks,5
201142,Kevin,Durant,K. Durant,kevin-durant,F,,,5:00,0,6,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4.0,Nets,5
203925,Joe,Harris,J. Harris,joe-harris,F,,,5:00,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-4.0,Nets,5
201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,3:35,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2.0,Nets,5
1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,5:00,1,1,1.0,0,0,0.0,0,0,0.0,2,0,2,0,1,0,0,0,2,-4.0,Nets,5
201935,James,Harden,J. Harden,james-harden,G,,,5:00,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-4.0,Nets,5
201145,Jeff,Green,J. Green,jeff-green,,,,1:25,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-6.0,Nets,5
