,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,201142,Kevin,Durant,K. Durant,kevin-durant,F,,,53:00,17,36,0.472,4,11,0.364,10,11,0.909,1,8,9,6,1,1,3,4,48,-4.0
1,203925,Joe,Harris,J. Harris,joe-harris,F,,,46:55,3,10,0.3,3,9,0.333,1,2,0.5,2,7,9,2,0,0,1,0,10,-1.0
2,201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,40:11,7,12,0.583,3,6,0.5,0,0,0.0,2,9,11,3,0,0,2,6,17,-4.0
3,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,52:08,7,9,0.778,0,1,0.0,0,2,0.0,4,2,6,2,2,1,3,4,14,-7.0
4,201935,James,Harden,J. Harden,james-harden,G,,,52:59,5,17,0.294,2,12,0.167,10,10,1.0,1,8,9,9,1,1,4,3,22,-4.0
5,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,6:53,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2.0
6,201145,Jeff,Green,J. Green,jeff-green,,,,12:53,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,3,0,2.0
7,1629651,Nicolas,Claxton,N. Claxton,nicolas-claxton,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
