,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,5:26,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,-2.0
1,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:21,3,4,0.75,0,0,0.0,1,3,0.333,0,3,3,0,0,0,1,0,7,-1.0
2,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,11:59,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,2,0,0,0,-1.0
3,203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,4,7,0.571,1,2,0.5,2,2,1.0,0,0,0,2,3,0,1,0,11,-1.0
4,201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,10:48,3,5,0.6,2,3,0.667,1,2,0.5,0,1,1,2,0,0,0,2,9,-2.0
5,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,8:25,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,2.0
6,1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
