,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,4,7,0.571,1,2,0.5,1,2,0.5,1,2,3,2,1,0,0,1,10,3.0
1,203925,Joe,Harris,J. Harris,joe-harris,F,,,8:37,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,3,0.0
2,201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,12:00,1,1,1.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,2,2,3.0
3,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:21,3,4,0.75,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,2,6,4.0
4,201935,James,Harden,J. Harden,james-harden,G,,,12:00,0,3,0.0,0,2,0.0,7,7,1.0,0,1,1,0,0,0,1,0,7,3.0
5,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,4:02,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2.0
