,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,6,11,0.545,0,2,0.0,3,3,1.0,0,1,1,2,0,0,2,2,15,1.0
1,203925,Joe,Harris,J. Harris,joe-harris,F,,,12:00,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,1,0,0,0,0,3,1.0
2,201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,6:06,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,0.0
3,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:55,1,1,1.0,0,0,0.0,0,2,0.0,0,0,0,1,1,0,0,1,2,-1.0
4,201935,James,Harden,J. Harden,james-harden,G,,,12:00,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,2,0,0,2,2,5,1.0
5,201145,Jeff,Green,J. Green,jeff-green,,,,5:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,3.0
6,1629651,Nicolas,Claxton,N. Claxton,nicolas-claxton,,,,0:01,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
