,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,12:00,1,4,0.25,0,1,0.0,0,0,0.0,2,0,2,0,2,0,0,1,2,-3.0
1,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:02,1,4,0.25,0,1,0.0,3,6,0.5,0,3,3,2,0,0,1,0,5,-3.0
2,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,8:20,4,5,0.8,1,1,1.0,0,0,0.0,2,0,2,0,0,1,0,0,9,-1.0
3,203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,0,4,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,-3.0
4,201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,8:28,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-3.0
5,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,8:10,2,2,1.0,2,2,1.0,0,0,0.0,0,3,3,0,0,0,0,1,6,-2.0
