,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,201142,Kevin,Durant,K. Durant,kevin-durant,F,,,12:00,3,5,0.6,1,3,0.333,6,6,1.0,0,2,2,1,0,0,0,1,13,-7.0
1,203925,Joe,Harris,J. Harris,joe-harris,F,,,9:18,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,0,3,-1.0
2,201933,Blake,Griffin,B. Griffin,blake-griffin,C,,,11:18,3,4,0.75,1,2,0.5,0,0,0.0,0,3,3,1,0,0,2,1,7,-11.0
3,1628971,Bruce,Brown,B. Brown,bruce-brown,G,,,11:52,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-9.0
4,201935,James,Harden,J. Harden,james-harden,G,,,11:59,1,4,0.25,1,4,0.25,2,2,1.0,0,2,2,4,0,0,1,0,5,-7.0
5,1629013,Landry,Shamet,L. Shamet,landry-shamet,,,,2:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4.0
6,201145,Jeff,Green,J. Green,jeff-green,,,,0:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4.0
