,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,9:09,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,1,0,0,2,6,3.0
1,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:27,6,10,0.6,1,3,0.333,3,3,1.0,1,1,2,2,0,0,0,1,16,9.0
2,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,9:42,2,3,0.667,1,1,1.0,0,0,0.0,1,0,1,0,0,0,0,1,5,1.0
3,203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,2,5,0.4,1,3,0.333,0,0,0.0,1,3,4,0,2,0,0,2,5,7.0
4,201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,12:00,0,5,0.0,0,1,0.0,0,0,0.0,1,3,4,4,0,0,0,1,0,7.0
5,203648,Thanasis,Antetokounmpo,T. Antetokounmpo,thanasis-antetokounmpo,,,,0:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
6,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,2:51,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,4.0
7,1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,2:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6.0
