,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,8:39,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,0,0,0,1,0,6,-6.0
1,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,11:08,2,3,0.667,2,3,0.667,0,0,0.0,0,3,3,2,0,0,0,1,6,-5.0
2,1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,10:47,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-1.0
3,1626164,Devin,Booker,D. Booker,devin-booker,G,,,12:00,2,8,0.25,2,4,0.5,0,0,0.0,0,2,2,3,0,0,0,0,6,-3.0
4,101108,Chris,Paul,C. Paul,chris-paul,G,,,8:39,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,1,0,0,2,0,2,-6.0
5,1626166,Cameron,Payne,C. Payne,cameron-payne,,,,3:21,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,3.0
6,1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,3:21,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,3.0
7,1628470,Torrey,Craig,T. Craig,torrey-craig,,,,2:05,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,0,3,0.0
