,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Suns,60:00,9,23,0.391,8,14,0.571,0,0,0.0,2,9,11,7,0,0,4,2,26,-3.0
Bucks,60:00,13,28,0.464,2,4,0.5,1,2,0.5,6,10,16,4,2,1,1,0,29,3.0
