,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Suns,240:00,43,88,0.489,20,40,0.5,12,14,0.857,11,32,43,26,7,2,12,19,118,10.0
Bucks,240:00,42,93,0.452,9,31,0.29,15,23,0.652,18,28,46,21,8,7,9,17,108,-10.0
