minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,teamName,Q
60:00,9,23,0.391,8,14,0.571,0,0,0.0,2,9,11,7,0,0,4,2,26,-3.0,Suns,1
60:00,13,28,0.464,2,4,0.5,1,2,0.5,6,10,16,4,2,1,1,0,29,3.0,Bucks,1
60:00,13,24,0.542,3,10,0.3,1,1,1.0,2,11,13,8,2,1,2,4,30,14.0,Suns,2
60:00,6,25,0.24,2,12,0.167,2,4,0.5,6,7,13,5,2,2,2,5,16,-14.0,Bucks,2
60:00,12,23,0.522,5,9,0.556,3,4,0.75,3,5,8,5,3,0,3,9,32,-1.0,Suns,3
60:00,10,19,0.526,4,9,0.444,9,14,0.643,5,6,11,5,2,3,4,5,33,1.0,Bucks,3
60:00,9,18,0.5,4,7,0.571,8,9,0.889,4,7,11,6,2,1,3,4,30,0.0,Suns,4
60:00,13,21,0.619,1,6,0.167,3,3,1.0,1,5,6,7,2,1,2,7,30,0.0,Bucks,4
