personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints,teamName,Q
203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,11:02,5,6,0.833,1,2,0.5,9,14,0.643,2,2,4,2,0,1,2,2,20,3.0,Bucks,3
201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,9:07,1,4,0.25,0,1,0.0,0,0,0.0,1,1,2,0,1,2,0,2,2,3.0,Bucks,3
203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,12:00,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,1,1,0,0,1,5,1.0,Bucks,3
201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,9:08,1,3,0.333,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,3,-1.0,Bucks,3
1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,6:29,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,1,0,0,1,0,3,-2.0,Bucks,3
201952,Jeff,Teague,J. Teague,jeff-teague,,,,3:57,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks,3
1627854,Bryn,Forbes,B. Forbes,bryn-forbes,,,,0:05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,Bucks,3
1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,8:03,2,5,0.4,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,1,4,-1.0,Suns,3
203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,9:42,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,3,0,-2.0,Suns,3
1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,10:50,0,2,0.0,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,3,1,-3.0,Suns,3
