,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
Bucks,240:00,37,82,0.451,6,27,0.222,25,29,0.862,11,42,53,20,10,6,18,17,105,7.0
Suns,240:00,38,86,0.442,6,25,0.24,16,19,0.842,6,31,37,14,11,4,14,21,98,-7.0
