,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,36:27,0,1,0.0,0,1,0.0,0,0,0.0,2,4,6,1,1,0,1,2,0,13.0
1,203507,Giannis,Antetokounmpo,G. Antetokounmpo,giannis-antetokounmpo,F,,,42:27,16,25,0.64,1,3,0.333,17,19,0.895,4,10,14,2,0,5,6,2,50,10.0
2,201572,Brook,Lopez,B. Lopez,brook-lopez,C,,,26:45,5,10,0.5,0,3,0.0,0,0,0.0,2,6,8,0,1,0,1,2,10,9.0
3,203114,Khris,Middleton,K. Middleton,khris-middleton,G,,,40:38,6,13,0.462,1,4,0.25,4,4,1.0,0,5,5,5,4,0,5,3,17,11.0
4,201950,Jrue,Holiday,J. Holiday,jrue-holiday,G,,,46:17,4,19,0.211,2,7,0.286,2,2,1.0,1,8,9,11,4,0,3,1,12,12.0
5,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,22:56,0,4,0.0,0,4,0.0,0,2,0.0,2,6,8,1,0,0,2,2,0,-21.0
6,1626171,Bobby,Portis,B. Portis,bobby-portis,,,,22:47,6,10,0.6,2,5,0.4,2,2,1.0,0,3,3,0,0,1,0,5,16,6.0
7,201952,Jeff,Teague,J. Teague,jeff-teague,,,,1:43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5.0
