,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,statistics.minutes,statistics.fieldGoalsMade,statistics.fieldGoalsAttempted,statistics.fieldGoalsPercentage,statistics.threePointersMade,statistics.threePointersAttempted,statistics.threePointersPercentage,statistics.freeThrowsMade,statistics.freeThrowsAttempted,statistics.freeThrowsPercentage,statistics.reboundsOffensive,statistics.reboundsDefensive,statistics.reboundsTotal,statistics.assists,statistics.steals,statistics.blocks,statistics.turnovers,statistics.foulsPersonal,statistics.points,statistics.plusMinusPoints
0,1628969,Mikal,Bridges,M. Bridges,mikal-bridges,F,,,39:28,3,7,0.429,0,1,0.0,1,2,0.5,1,5,6,2,2,0,0,4,7,-18.0
1,203109,Jae,Crowder,J. Crowder,jae-crowder,F,,,40:33,4,11,0.364,2,9,0.222,5,5,1.0,2,11,13,0,4,1,2,3,15,4.0
2,1629028,Deandre,Ayton,D. Ayton,deandre-ayton,C,,,36:12,4,12,0.333,0,0,0.0,4,5,0.8,1,5,6,1,2,2,2,5,12,-7.0
3,1626164,Devin,Booker,D. Booker,devin-booker,G,,,46:15,8,22,0.364,0,7,0.0,3,3,1.0,0,3,3,5,0,0,6,4,19,-15.0
4,101108,Chris,Paul,C. Paul,chris-paul,G,,,39:13,11,19,0.579,1,2,0.5,3,4,0.75,1,1,2,5,1,0,3,5,26,-8.0
5,1629661,Cameron,Johnson,C. Johnson,cameron-johnson,,,,16:04,1,5,0.2,1,4,0.25,0,0,0.0,0,3,3,0,1,1,0,0,3,0.0
6,1626163,Frank,Kaminsky,F. Kaminsky,frank-kaminsky,,,,10:60,3,4,0.75,0,0,0.0,0,0,0.0,1,1,2,1,1,0,0,0,6,0.0
7,1626166,Cameron,Payne,C. Payne,cameron-payne,,,,10:27,4,6,0.667,2,2,1.0,0,0,0.0,0,2,2,0,0,0,1,0,10,9.0
8,1628470,Torrey,Craig,T. Craig,torrey-craig,,,,0:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
