minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,teamName,Q
60:00,11,23,0.478,3,9,0.333,4,4,1.0,3,16,19,6,5,1,6,2,29,13.0,Bucks,1
60:00,7,24,0.292,2,9,0.222,0,1,0.0,2,6,8,3,5,0,5,3,16,-13.0,Suns,1
60:00,4,20,0.2,0,8,0.0,5,6,0.833,2,6,8,2,1,2,4,6,13,-18.0,Bucks,2
60:00,11,18,0.611,2,3,0.667,7,8,0.875,0,14,14,3,2,2,2,4,31,18.0,Suns,2
60:00,12,21,0.571,2,6,0.333,9,9,1.0,3,9,12,5,2,1,5,5,35,5.0,Bucks,3
60:00,12,23,0.522,2,5,0.4,4,4,1.0,2,5,7,5,3,1,4,6,30,-5.0,Suns,3
60:00,10,18,0.556,1,4,0.25,7,10,0.7,3,11,14,7,2,2,3,4,28,7.0,Bucks,4
60:00,8,21,0.381,0,8,0.0,5,6,0.833,2,6,8,3,1,1,3,8,21,-7.0,Suns,4
